================================================================================================
                                        FOR PROPERTY 1                  
================================================================================================

Network 	 Input Node 	 Bin Combination 	 Execution Time 	 Counterexample
----------------------------------------------------------------------------------------------

1_1 	 	 1 	 	 0	 	 1660 sec    	 	 	 none found 
1_1 	 	 1 	 	 1	 	 810 sec    	 	 	 none found 
1_1 	 	 1 	 	 2	 	 4 sec    	 	 	 none found 
1_1 	 	 1 	 	 3	 	 1175 sec    	 	 	 none found 
1_1 	 	 1 	 	 4	 	 1899 sec    	 	 	 none found 
1_1 	 	 1 	 	 5	 	 1631 sec    	 	 	 none found 
1_1 	 	 1 	 	 6	 	 2788 sec    	 	 	 none found 
1_1 	 	 1 	 	 7	 	 1622 sec    	 	 	 none found 
1_1 	 	 1 	 	 8	 	 1854 sec    	 	 	 none found 
1_1 	 	 1 	 	 9	 	 4 sec    	 	 	 none found 
1_1 	 	 1 	 	 10	 	 1287 sec    	 	 	 none found 
1_1 	 	 1 	 	 11	 	 2987 sec    	 	 	 none found 
1_1 	 	 1 	 	 12	 	 526 sec    	 	 	 none found 
1_1 	 	 1 	 	 13	 	 3211 sec    	 	 	 none found 
1_1 	 	 1 	 	 14	 	 5 sec    	 	 	 none found 
1_1 	 	 1 	 	 15	 	 1979 sec    	 	 	 none found 
1_1 	 	 1 	 	 16	 	 2862 sec    	 	 	 none found 
1_1 	 	 1 	 	 17	 	 2102 sec    	 	 	 none found 
1_1 	 	 1 	 	 18	 	 2014 sec    	 	 	 none found 
1_1 	 	 1 	 	 19	 	 1788 sec    	 	 	 none found 
1_1 	 	 1 	 	 20	 	 1542 sec    	 	 	 none found 
1_1 	 	 1 	 	 21	 	 1601 sec    	 	 	 none found 
1_1 	 	 1 	 	 22	 	 3186 sec    	 	 	 none found 
1_1 	 	 1 	 	 23	 	 2004 sec    	 	 	 none found 
1_1 	 	 1 	 	 24	 	 2718 sec    	 	 	 none found 
1_1 	 	 1 	 	 25	 	 1069 sec    	 	 	 none found 
1_1 	 	 1 	 	 26	 	 1470 sec    	 	 	 none found 
1_1 	 	 1 	 	 27	 	 3315 sec    	 	 	 none found 
1_1 	 	 1 	 	 28	 	 1263 sec    	 	 	 none found 
1_1 	 	 1 	 	 29	 	 1438 sec    	 	 	 none found 
1_1 	 	 1 	 	 30	 	 865 sec    	 	 	 none found 
1_1 	 	 1 	 	 31	 	 17 sec    	 	 	 none found 
1_1 	 	 1 	 	 32	 	 1634 sec    	 	 	 none found 
1_1 	 	 1 	 	 33	 	 1003 sec    	 	 	 none found 
1_1 	 	 1 	 	 34	 	 780 sec    	 	 	 none found 
1_1 	 	 1 	 	 35	 	 5 sec    	 	 	 none found 
1_1 	 	 1 	 	 36	 	 503 sec    	 	 	 none found 
1_1 	 	 1 	 	 37	 	 2028 sec    	 	 	 none found 
1_1 	 	 1 	 	 38	 	 2539 sec    	 	 	 none found 
1_1 	 	 1 	 	 39	 	 2590 sec    	 	 	 none found 
1_1 	 	 1 	 	 40	 	 1378 sec    	 	 	 none found 
1_1 	 	 1 	 	 41	 	 868 sec    	 	 	 none found 
1_1 	 	 1 	 	 42	 	 1739 sec    	 	 	 none found 
1_1 	 	 1 	 	 43	 	 1173 sec    	 	 	 none found 
1_1 	 	 1 	 	 44	 	 1700 sec    	 	 	 none found 
1_1 	 	 1 	 	 45	 	 3228 sec    	 	 	 none found 
1_1 	 	 1 	 	 46	 	 996 sec    	 	 	 none found 
1_1 	 	 1 	 	 47	 	 2082 sec    	 	 	 none found 
1_1 	 	 1 	 	 48	 	 5 sec    	 	 	 none found 
1_1 	 	 1 	 	 49	 	 615 sec    	 	 	 none found 
1_1 	 	 1 	 	 50	 	 5 sec    	 	 	 none found 
1_1 	 	 1 	 	 51	 	 5 sec    	 	 	 none found 
1_1 	 	 1 	 	 52	 	 2812 sec    	 	 	 none found 
1_1 	 	 1 	 	 53	 	 1038 sec    	 	 	 none found 
1_1 	 	 1 	 	 54	 	 2158 sec    	 	 	 none found 
