================================================================================================
                                        FOR PROPERTY 3                  
================================================================================================

Network 	 Input Node 	 Bin Combination 	 Execution Time 	 Counterexample
----------------------------------------------------------------------------------------------

1_1 	 	 1 	 	 89	 	 3158 sec    	 	 	 none found 
1_1 	 	 1 	 	 90	 	 1427 sec    	 	 	 none found 
1_1 	 	 1 	 	 91	 	 1652 sec    	 	 	 none found 
1_1 	 	 1 	 	 92	 	 2098 sec    	 	 	 none found 
1_1 	 	 1 	 	 93	 	 2259 sec    	 	 	 none found 
1_1 	 	 1 	 	 94	 	 2438 sec    	 	 	 none found 
1_1 	 	 1 	 	 95	 	 1986 sec    	 	 	 none found 
1_1 	 	 2 	 	 0	 	 5183 sec    	 	 	 none found 
1_1 	 	 2 	 	 1	 	 4683 sec    	 	 	 none found 
1_1 	 	 2 	 	 2	 	 4937 sec    	 	 	 none found 
1_1 	 	 2 	 	 3	 	 4335 sec    	 	 	 none found 
1_1 	 	 2 	 	 4	 	 4837 sec    	 	 	 none found 
1_1 	 	 2 	 	 5	 	 5008 sec    	 	 	 none found 
1_1 	 	 2 	 	 6	 	 4734 sec    	 	 	 none found 
1_1 	 	 2 	 	 7	 	 3259 sec    	 	 	 none found 
1_1 	 	 2 	 	 8	 	 TIMEOUT 	 	 	 - 
1_1 	 	 2 	 	 9	 	 5200 sec    	 	 	 none found 
1_1 	 	 2 	 	 10	 	 4022 sec    	 	 	 none found 
1_1 	 	 2 	 	 11	 	 3233 sec    	 	 	 none found 
1_1 	 	 2 	 	 12	 	 5858 sec    	 	 	 none found 
1_1 	 	 2 	 	 13	 	 6077 sec    	 	 	 none found 
1_1 	 	 2 	 	 14	 	 5529 sec    	 	 	 none found 
1_1 	 	 2 	 	 15	 	 3500 sec    	 	 	 none found 
1_1 	 	 2 	 	 16	 	 4913 sec    	 	 	 none found 
1_1 	 	 2 	 	 17	 	 4935 sec    	 	 	 none found 
1_1 	 	 2 	 	 18	 	 4001 sec    	 	 	 none found 
1_1 	 	 2 	 	 19	 	 3566 sec    	 	 	 none found 
1_1 	 	 2 	 	 20	 	 6432 sec    	 	 	 none found 
1_1 	 	 2 	 	 21	 	 5578 sec    	 	 	 none found 
1_1 	 	 2 	 	 22	 	 4312 sec    	 	 	 none found 
1_1 	 	 2 	 	 23	 	 3977 sec    	 	 	 none found 
1_1 	 	 2 	 	 24	 	 5790 sec    	 	 	 none found 
1_1 	 	 2 	 	 25	 	 TIMEOUT 	 	 	 - 
1_1 	 	 2 	 	 26	 	 4090 sec    	 	 	 none found 
1_1 	 	 2 	 	 27	 	 5325 sec    	 	 	 none found 
1_1 	 	 2 	 	 28	 	 6739 sec    	 	 	 none found 
1_1 	 	 2 	 	 29	 	 3809 sec    	 	 	 none found 
1_1 	 	 2 	 	 30	 	 4257 sec    	 	 	 none found 
1_1 	 	 2 	 	 31	 	 4192 sec    	 	 	 none found 
1_1 	 	 2 	 	 32	 	 6831 sec    	 	 	 none found 
1_1 	 	 2 	 	 33	 	 6698 sec    	 	 	 none found 
1_1 	 	 2 	 	 34	 	 5696 sec    	 	 	 none found 
1_1 	 	 2 	 	 35	 	 4809 sec    	 	 	 none found 
1_1 	 	 2 	 	 36	 	 4690 sec    	 	 	 none found 
1_1 	 	 2 	 	 37	 	 4709 sec    	 	 	 none found 
1_1 	 	 2 	 	 38	 	 TIMEOUT 	 	 	 - 
1_1 	 	 2 	 	 39	 	 5577 sec    	 	 	 none found 
1_1 	 	 2 	 	 40	 	 TIMEOUT 	 	 	 - 
1_1 	 	 2 	 	 41	 	 4823 sec    	 	 	 none found 
1_1 	 	 2 	 	 42	 	 5576 sec    	 	 	 none found 
1_1 	 	 2 	 	 43	 	 TIMEOUT 	 	 	 - 
1_1 	 	 2 	 	 44	 	 5761 sec    	 	 	 none found 
1_1 	 	 2 	 	 45	 	 6364 sec    	 	 	 none found 
1_1 	 	 2 	 	 46	 	 4710 sec    	 	 	 none found 
1_1 	 	 2 	 	 47	 	 4636 sec    	 	 	 none found 
1_1 	 	 2 	 	 48	 	 5390 sec    	 	 	 none found 
1_1 	 	 2 	 	 49	 	 TIMEOUT 	 	 	 - 
1_1 	 	 2 	 	 50	 	 4251 sec    	 	 	 none found 
1_1 	 	 2 	 	 51	 	 4474 sec    	 	 	 none found 
1_1 	 	 2 	 	 52	 	 4851 sec    	 	 	 none found 
1_1 	 	 2 	 	 53	 	 5045 sec    	 	 	 none found 
1_1 	 	 2 	 	 54	 	 5287 sec    	 	 	 none found 
1_1 	 	 2 	 	 55	 	 4372 sec    	 	 	 none found 
1_1 	 	 2 	 	 56	 	 6632 sec    	 	 	 none found 
1_1 	 	 2 	 	 57	 	 4190 sec    	 	 	 none found 
1_1 	 	 2 	 	 58	 	 4805 sec    	 	 	 none found 
1_1 	 	 2 	 	 59	 	 6002 sec    	 	 	 none found 
1_1 	 	 2 	 	 60	 	 5138 sec    	 	 	 none found 
1_1 	 	 2 	 	 61	 	 TIMEOUT 	 	 	 - 
1_1 	 	 2 	 	 62	 	 6077 sec    	 	 	 none found 
1_1 	 	 2 	 	 63	 	 4889 sec    	 	 	 none found 
1_1 	 	 3 	 	 0	 	 2202 sec    	 	 	 none found 
1_1 	 	 3 	 	 1	 	 1539 sec    	 	 	 none found 
1_1 	 	 3 	 	 2	 	 1219 sec    	 	 	 none found 
1_1 	 	 3 	 	 3	 	 2079 sec    	 	 	 none found 
1_1 	 	 3 	 	 4	 	 3792 sec    	 	 	 none found 
1_1 	 	 3 	 	 5	 	 2955 sec    	 	 	 none found 
1_1 	 	 3 	 	 6	 	 2165 sec    	 	 	 none found 
1_1 	 	 3 	 	 7	 	 1792 sec    	 	 	 none found 
1_1 	 	 3 	 	 8	 	 2191 sec    	 	 	 none found 
1_1 	 	 3 	 	 9	 	 2195 sec    	 	 	 none found 
1_1 	 	 3 	 	 10	 	 1422 sec    	 	 	 none found 
1_1 	 	 3 	 	 11	 	 2423 sec    	 	 	 none found 
1_1 	 	 3 	 	 12	 	 3024 sec    	 	 	 none found 
1_1 	 	 3 	 	 13	 	 3538 sec    	 	 	 none found 
1_1 	 	 3 	 	 14	 	 1528 sec    	 	 	 none found 
1_1 	 	 3 	 	 15	 	 1950 sec    	 	 	 none found 
1_1 	 	 3 	 	 16	 	 2731 sec    	 	 	 none found 
1_1 	 	 3 	 	 17	 	 2966 sec    	 	 	 none found 
1_1 	 	 3 	 	 18	 	 1513 sec    	 	 	 none found 
1_1 	 	 3 	 	 19	 	 1566 sec    	 	 	 none found 
1_1 	 	 3 	 	 20	 	 1825 sec    	 	 	 none found 
1_1 	 	 3 	 	 21	 	 763 sec    	 	 	 none found 
1_1 	 	 3 	 	 22	 	 1036 sec    	 	 	 none found 
1_1 	 	 3 	 	 23	 	 1721 sec    	 	 	 none found 
1_1 	 	 3 	 	 24	 	 2593 sec    	 	 	 none found 
1_1 	 	 3 	 	 25	 	 2903 sec    	 	 	 none found 
1_1 	 	 3 	 	 26	 	 707 sec    	 	 	 none found 
1_1 	 	 3 	 	 27	 	 1754 sec    	 	 	 none found 
1_1 	 	 3 	 	 28	 	 1143 sec    	 	 	 none found 
1_1 	 	 3 	 	 29	 	 1835 sec    	 	 	 none found 
1_1 	 	 3 	 	 30	 	 2038 sec    	 	 	 none found 
1_1 	 	 3 	 	 31	 	 2196 sec    	 	 	 none found 
1_1 	 	 3 	 	 32	 	 2569 sec    	 	 	 none found 
1_1 	 	 3 	 	 33	 	 674 sec    	 	 	 none found 
1_1 	 	 3 	 	 34	 	 1984 sec    	 	 	 none found 
1_1 	 	 3 	 	 35	 	 1613 sec    	 	 	 none found 
1_1 	 	 3 	 	 36	 	 9 sec    	 	 	 none found 
1_1 	 	 3 	 	 37	 	 2623 sec    	 	 	 none found 
1_1 	 	 3 	 	 38	 	 2190 sec    	 	 	 none found 
1_1 	 	 3 	 	 39	 	 1664 sec    	 	 	 none found 
1_1 	 	 3 	 	 40	 	 1773 sec    	 	 	 none found 
1_1 	 	 3 	 	 41	 	 2613 sec    	 	 	 none found 
1_1 	 	 3 	 	 42	 	 1878 sec    	 	 	 none found 
1_1 	 	 3 	 	 43	 	 2748 sec    	 	 	 none found 
1_1 	 	 3 	 	 44	 	 4177 sec    	 	 	 none found 
1_1 	 	 3 	 	 45	 	 3049 sec    	 	 	 none found 
1_1 	 	 3 	 	 46	 	 1854 sec    	 	 	 none found 
1_1 	 	 3 	 	 47	 	 1830 sec    	 	 	 none found 
1_1 	 	 3 	 	 48	 	 1619 sec    	 	 	 none found 
1_1 	 	 3 	 	 49	 	 3211 sec    	 	 	 none found 
1_1 	 	 3 	 	 50	 	 2025 sec    	 	 	 none found 
1_1 	 	 3 	 	 51	 	 3157 sec    	 	 	 none found 
1_1 	 	 3 	 	 52	 	 2392 sec    	 	 	 none found 
1_1 	 	 3 	 	 53	 	 1958 sec    	 	 	 none found 
1_1 	 	 3 	 	 54	 	 36 sec    	 	 	 none found 
1_1 	 	 3 	 	 55	 	 1322 sec    	 	 	 none found 
1_1 	 	 3 	 	 56	 	 2942 sec    	 	 	 none found 
1_1 	 	 3 	 	 57	 	 131 sec    	 	 	 none found 
1_1 	 	 3 	 	 58	 	 2912 sec    	 	 	 none found 
1_1 	 	 3 	 	 59	 	 2664 sec    	 	 	 none found 
1_1 	 	 3 	 	 60	 	 1446 sec    	 	 	 none found 
1_1 	 	 3 	 	 61	 	 1825 sec    	 	 	 none found 
1_1 	 	 3 	 	 62	 	 3253 sec    	 	 	 none found 
1_1 	 	 3 	 	 63	 	 1381 sec    	 	 	 none found 
1_1 	 	 3 	 	 64	 	 2350 sec    	 	 	 none found 
1_1 	 	 3 	 	 65	 	 2928 sec    	 	 	 none found 
1_1 	 	 3 	 	 66	 	 2389 sec    	 	 	 none found 
1_1 	 	 3 	 	 67	 	 1707 sec    	 	 	 none found 
1_1 	 	 3 	 	 68	 	 1830 sec    	 	 	 none found 
1_1 	 	 3 	 	 69	 	 2406 sec    	 	 	 none found 
1_1 	 	 3 	 	 70	 	 493 sec    	 	 	 none found 
1_1 	 	 3 	 	 71	 	 897 sec    	 	 	 none found 
1_1 	 	 3 	 	 72	 	 1362 sec    	 	 	 none found 
1_1 	 	 3 	 	 73	 	 2451 sec    	 	 	 none found 
1_1 	 	 3 	 	 74	 	 1202 sec    	 	 	 none found 
1_1 	 	 3 	 	 75	 	 1873 sec    	 	 	 none found 
1_1 	 	 3 	 	 76	 	 2155 sec    	 	 	 none found 
1_1 	 	 3 	 	 77	 	 3052 sec    	 	 	 none found 
1_1 	 	 3 	 	 78	 	 1861 sec    	 	 	 none found 
1_1 	 	 3 	 	 79	 	 2010 sec    	 	 	 none found 
1_1 	 	 3 	 	 80	 	 1574 sec    	 	 	 none found 
1_1 	 	 3 	 	 81	 	 1877 sec    	 	 	 none found 
1_1 	 	 3 	 	 82	 	 2292 sec    	 	 	 none found 
1_1 	 	 3 	 	 83	 	 3599 sec    	 	 	 none found 
1_1 	 	 3 	 	 84	 	 2643 sec    	 	 	 none found 
1_1 	 	 3 	 	 85	 	 2164 sec    	 	 	 none found 
1_1 	 	 3 	 	 86	 	 2244 sec    	 	 	 none found 
1_1 	 	 3 	 	 87	 	 2488 sec    	 	 	 none found 
1_1 	 	 3 	 	 88	 	 2101 sec    	 	 	 none found 
1_1 	 	 3 	 	 89	 	 1606 sec    	 	 	 none found 
1_1 	 	 3 	 	 90	 	 2303 sec    	 	 	 none found 
1_1 	 	 3 	 	 91	 	 2593 sec    	 	 	 none found 
1_1 	 	 3 	 	 92	 	 970 sec    	 	 	 none found 
1_1 	 	 3 	 	 93	 	 1966 sec    	 	 	 none found 
1_1 	 	 3 	 	 94	 	 1219 sec    	 	 	 none found 
1_1 	 	 3 	 	 95	 	 1813 sec    	 	 	 none found 
