================================================================================================
                                        FOR PROPERTY 2                  
================================================================================================

Network 	 Input Node 	 Bin Combination 	 Execution Time 	 Counterexample
----------------------------------------------------------------------------------------------

1_1 	 	 1 	 	 0	 	 1700 sec    	 	 	 none found 
1_1 	 	 1 	 	 1	 	 1691 sec    	 	 	 none found 
1_1 	 	 1 	 	 2	 	 432 sec    	 	 	 none found 
1_1 	 	 1 	 	 3	 	 5 sec    	 	 	 none found 
1_1 	 	 1 	 	 4	 	 806 sec    	 	 	 none found 
1_1 	 	 1 	 	 5	 	 4 sec    	 	 	 none found 
1_1 	 	 1 	 	 6	 	 967 sec    	 	 	 none found 
1_1 	 	 1 	 	 7	 	 1889 sec    	 	 	 none found 
1_1 	 	 1 	 	 8	 	 1307 sec    	 	 	 none found 
1_1 	 	 1 	 	 9	 	 1580 sec    	 	 	 none found 
1_1 	 	 1 	 	 10	 	 4 sec    	 	 	 none found 
1_1 	 	 1 	 	 11	 	 2207 sec    	 	 	 none found 
1_1 	 	 1 	 	 12	 	 2078 sec    	 	 	 none found 
1_1 	 	 1 	 	 13	 	 815 sec    	 	 	 none found 
1_1 	 	 1 	 	 14	 	 3204 sec    	 	 	 none found 
1_1 	 	 1 	 	 15	 	 1289 sec    	 	 	 none found 
1_1 	 	 1 	 	 16	 	 722 sec    	 	 	 none found 
1_1 	 	 1 	 	 17	 	 4 sec    	 	 	 none found 
1_1 	 	 1 	 	 18	 	 4 sec    	 	 	 none found 
1_1 	 	 1 	 	 19	 	 1031 sec    	 	 	 none found 
1_1 	 	 1 	 	 20	 	 962 sec    	 	 	 none found 
1_1 	 	 1 	 	 21	 	 649 sec    	 	 	 none found 
1_1 	 	 1 	 	 22	 	 457 sec    	 	 	 none found 
1_1 	 	 1 	 	 23	 	 5 sec    	 	 	 none found 
1_1 	 	 1 	 	 24	 	 324 sec    	 	 	 none found 
1_1 	 	 1 	 	 25	 	 4 sec    	 	 	 none found 
1_1 	 	 1 	 	 26	 	 2040 sec    	 	 	 none found 
1_1 	 	 1 	 	 27	 	 3362 sec    	 	 	 none found 
1_1 	 	 1 	 	 28	 	 1767 sec    	 	 	 none found 
1_1 	 	 1 	 	 29	 	 1691 sec    	 	 	 none found 
