================================================================================================
                                        FOR PROPERTY 4                  
================================================================================================

Network 	 Input Node 	 Bin Combination 	 Execution Time 	 Counterexample
----------------------------------------------------------------------------------------------

1_1 	 	 1 	 	 0	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 1	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 2	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 3	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 4	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 5	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 6	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 7	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 8	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 9	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 10	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 11	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 12	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 13	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 14	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 15	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 16	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 17	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 18	 	 3 sec    	 	 	 none found 
1_1 	 	 1 	 	 19	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 20	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 21	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 22	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 23	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 24	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 25	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 26	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 27	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 28	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 29	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 30	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 31	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 32	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 33	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 34	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 35	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 36	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 37	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 38	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 39	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 40	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 41	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 42	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 43	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 44	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 45	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 46	 	 2 sec    	 	 	 none found 
1_1 	 	 1 	 	 47	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 0	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 1	 	 3 sec    	 	 	 none found 
1_1 	 	 2 	 	 2	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 3	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 4	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 5	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 6	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 7	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 8	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 9	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 10	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 11	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 12	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 13	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 14	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 15	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 16	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 17	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 18	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 19	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 20	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 21	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 22	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 23	 	 3 sec    	 	 	 none found 
1_1 	 	 2 	 	 24	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 25	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 26	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 27	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 28	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 29	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 30	 	 2 sec    	 	 	 none found 
1_1 	 	 2 	 	 31	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 0	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 1	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 2	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 3	 	 3 sec    	 	 	 none found 
1_1 	 	 3 	 	 4	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 5	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 6	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 7	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 8	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 9	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 10	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 11	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 12	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 13	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 14	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 15	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 16	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 17	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 18	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 19	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 20	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 21	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 22	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 23	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 24	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 25	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 26	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 27	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 28	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 29	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 30	 	 3 sec    	 	 	 none found 
1_1 	 	 3 	 	 31	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 32	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 33	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 34	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 35	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 36	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 37	 	 3 sec    	 	 	 none found 
1_1 	 	 3 	 	 38	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 39	 	 2 sec    	 	 	 none found 
1_1 	 	 3 	 	 40	 	 2 sec    	 	 	 none found 
